N,phi,K,D,E_per_N_LJ,f_rms,fmax,steps,time_s,status,lammps_bitzek,lammps_default
1000000,0.86,1,5,1.0886409626e+03,2.838165e+00,0.000000e+00,4000,301.1,diverged,,
1000000,0.86,1,8,1.0876919536e+03,2.836286e+00,0.000000e+00,4000,263.2,diverged,,
1000000,0.86,2,0,4.7487585438e-01,5.936561e-07,0.000000e+00,27800,1919.2,converged,,
1000000,0.86,2,1,4.7487585438e-01,5.936561e-07,0.000000e+00,27800,1867.7,converged,,
1000000,0.86,2,2,4.5804139610e-01,9.570837e-07,0.000000e+00,13200,978.3,converged,,
1000000,0.86,2,3,1.0884491442e+03,2.837247e+00,0.000000e+00,4000,261.0,diverged,,
1000000,0.86,2,5,1.0848152061e+03,2.830592e+00,0.000000e+00,4000,343.0,diverged,,
1000000,0.86,2,8,1.0896608189e+03,2.838497e+00,0.000000e+00,4000,259.5,diverged,,
1000000,0.86,4,0,4.8964794722e-01,9.449812e-07,0.000000e+00,21600,2229.5,converged,,
1000000,0.86,4,1,4.8964794722e-01,9.449812e-07,0.000000e+00,21600,1789.6,converged,,
1000000,0.86,4,2,4.7823551137e-01,7.810453e-07,0.000000e+00,18200,1199.0,converged,,
1000000,0.86,4,3,4.5472060958e-01,4.351508e-07,0.000000e+00,13800,922.0,converged,,
1000000,0.86,4,5,1.0871008775e+03,2.835015e+00,0.000000e+00,4000,397.9,diverged,,
1000000,0.86,4,8,1.0905001100e+03,2.839081e+00,0.000000e+00,4000,152.6,diverged,,
1000000,0.86,8,0,4.9363540080e-01,8.127237e-07,0.000000e+00,22200,2070.8,converged,,
1000000,0.86,8,1,4.9363540080e-01,8.127237e-07,0.000000e+00,22200,2345.7,converged,,
1000000,0.86,8,2,4.8378747361e-01,5.212373e-07,0.000000e+00,19400,1507.3,converged,,
1000000,0.86,8,3,4.6817535757e-01,7.499902e-07,0.000000e+00,16000,1201.6,converged,,
1000000,0.86,8,5,1.0858001461e+03,2.829953e+00,0.000000e+00,4000,400.1,diverged,,
1000000,0.86,8,8,1.0868515398e+03,2.835242e+00,0.000000e+00,4000,346.6,diverged,,
1000000,0.86,16,0,4.9431544950e-01,6.696633e-07,0.000000e+00,26600,1773.9,converged,,
1000000,0.86,16,1,4.9431544950e-01,6.696633e-07,0.000000e+00,26600,1914.4,converged,,
1000000,0.86,16,2,4.8913270213e-01,6.935695e-07,0.000000e+00,25000,1652.3,converged,,
1000000,0.86,16,3,4.8398166609e-01,5.635934e-07,0.000000e+00,19200,1448.4,converged,,
1000000,0.86,16,8,1.0883606317e+03,2.840955e+00,0.000000e+00,4000,343.8,diverged,,
1000000,0.86,32,0,4.9986937243e-01,8.333721e-07,0.000000e+00,24200,1593.9,converged,,
1000000,0.86,32,1,4.9986937243e-01,8.333721e-07,0.000000e+00,24200,2133.1,converged,,
1000000,0.86,32,2,4.9720726228e-01,8.673621e-07,0.000000e+00,28000,1254.5,converged,,
1000000,0.86,32,3,4.9071064834e-01,6.822574e-07,0.000000e+00,21200,1703.6,converged,,
1000000,0.86,32,5,4.6745877077e-01,1.542229e-03,0.000000e+00,499999,33117.3,max_steps,,
1000000,0.86,32,8,5.0030739815e+02,1.704408e+00,0.000000e+00,4000,356.9,diverged,,
1000000,0.88,1,0,2.2978912073e+00,8.360411e-07,0.000000e+00,8600,639.4,converged,,
1000000,0.88,1,1,2.2978912073e+00,8.360411e-07,0.000000e+00,8600,607.8,converged,,
1000000,0.88,1,2,1.1130774812e+03,2.901586e+00,0.000000e+00,4000,404.4,diverged,,
1000000,0.88,1,3,1.1140877884e+03,2.903989e+00,0.000000e+00,4000,315.9,diverged,,
1000000,0.88,1,5,1.1138005874e+03,2.903052e+00,0.000000e+00,4000,274.3,diverged,,
1000000,0.88,1,8,1.1153863572e+03,2.906222e+00,0.000000e+00,4000,358.3,diverged,,
1000000,0.88,2,0,2.3302282019e+00,9.636109e-07,0.000000e+00,13200,916.9,converged,,
1000000,0.88,2,1,2.3302282019e+00,9.636109e-07,0.000000e+00,13200,1136.6,converged,,
